"","response","intonation","modifier_type","subject.ID","trial_object","probe_type","trial_modifier","group"
"284","3","sarcastic","grad+subj+pos","32950","tool","nice","useful","adults"
"285","1","declarative","grad+subj+neg","32950","hole","nice","careless","adults"
"286","3","sarcastic","grad+subj+neg","32950","solution","nice","bossy","adults"
"287","3","declarative","–grad–subj","32950","novel","nice","fiction","adults"
"288","2","sarcastic","–grad–subj","32950","video","nice","tiktok","adults"
"289","4","declarative","grad+subj+pos","33520","cake","nice","yummy","adults"
"290","5","sarcastic","grad+subj+pos","33520","gift","nice","awesome","adults"
"291","2","declarative","grad+subj+neg","33520","bouquet","nice","messy","adults"
"292","2","sarcastic","grad+subj+neg","33520","question","nice","silly","adults"
"293","2","declarative","–grad–subj","33520","dish","nice","lobster","adults"
"294","2","sarcastic","–grad–subj","33520","shirt","nice","spotted","adults"
"295","4","declarative","grad+subj+pos","33520","story","nice","funny","adults"
"296","3","sarcastic","grad+subj+pos","33520","tool","nice","useful","adults"
"297","1","declarative","grad+subj+neg","33520","hole","nice","careless","adults"
"298","2","sarcastic","grad+subj+neg","33520","solution","nice","bossy","adults"
"299","2","declarative","–grad–subj","33520","novel","nice","fiction","adults"
"300","2","sarcastic","–grad–subj","33520","video","nice","tiktok","adults"
"301","5","declarative","grad+subj+pos","33691","cake","nice","yummy","adults"
"302","4","sarcastic","grad+subj+pos","33691","gift","nice","awesome","adults"
"303","3","declarative","grad+subj+neg","33691","bouquet","nice","messy","adults"
"304","2","sarcastic","grad+subj+neg","33691","question","nice","silly","adults"
"305","3","declarative","–grad–subj","33691","dish","nice","lobster","adults"
"306","2","sarcastic","–grad–subj","33691","shirt","nice","spotted","adults"
"307","4","declarative","grad+subj+pos","33691","story","nice","funny","adults"
"308","2","sarcastic","grad+subj+pos","33691","tool","nice","useful","adults"
"309","3","declarative","grad+subj+neg","33691","hole","nice","careless","adults"
"310","3","sarcastic","grad+subj+neg","33691","solution","nice","bossy","adults"
"311","3","declarative","–grad–subj","33691","novel","nice","fiction","adults"
"312","3","sarcastic","–grad–subj","33691","video","nice","tiktok","adults"
"313","4","sarcastic","grad+subj+pos","28969","cake","nice","yummy","adults"
"314","1","declarative","grad+subj+neg","28969","gift","nice","awful","adults"
"315","2","sarcastic","grad+subj+neg","28969","bouquet","nice","messy","adults"
"316","2","declarative","–grad–subj","28969","question","nice","review","adults"
"317","2","sarcastic","–grad–subj","28969","dish","nice","lobster","adults"
"318","5","declarative","grad+subj+pos","28969","shirt","nice","lovely","adults"
"319","4","sarcastic","grad+subj+pos","28969","story","nice","funny","adults"
"320","1","declarative","grad+subj+neg","28969","tool","nice","useless","adults"
"321","2","sarcastic","grad+subj+neg","28969","hole","nice","careless","adults"
"322","3","declarative","–grad–subj","28969","solution","nice","partial","adults"
"323","3","sarcastic","–grad–subj","28969","novel","nice","fiction","adults"
"324","4","declarative","grad+subj+pos","28969","video","nice","witty","adults"
"325","5","sarcastic","grad+subj+pos","31981","cake","nice","yummy","adults"
"326","2","declarative","grad+subj+neg","31981","gift","nice","awful","adults"
"327","2","sarcastic","grad+subj+neg","31981","bouquet","nice","messy","adults"
"328","3","declarative","–grad–subj","31981","question","nice","review","adults"
